millis,x,y,z,state
0,-0.5546875,0.69921875,-0.58203125,Unknown
100,-0.123046875,-0.31640625,1.001953125,Unknown
330,0.009765625,0.712890625,0.166015625,Unknown
457,0.46875,-0.310546875,0.625,Unknown
879,0.63671875,-0.11328125,0.7109375,Unknown
1114,0.802734375,0.04296875,0.63671875,OnFace
1213,0.802734375,0.04296875,0.634765625,OnFace
1312,0.802734375,0.04296875,0.634765625,OnFace
1568,0.802734375,0.04296875,0.634765625,OnFace
1727,0.80078125,0.04296875,0.634765625,OnFace
1949,0.80078125,0.04296875,0.63671875,OnFace
2080,0.80078125,0.04296875,0.634765625,OnFace
2402,0.3515625,-0.05859375,0.359375,Picked Up
2666,0.162109375,-0.40234375,-1.05078125,Picked Up
2892,0.654296875,-0.46484375,0.83984375,Rolling
3117,0.2734375,-0.248046875,-0.091796875,Rolling
3406,0.525390625,-0.421875,0.517578125,Rolling
3555,0.4140625,0.69140625,0.31640625,Rolling
3677,0.3828125,0.986328125,0.09375,OnFace
3853,0.341796875,0.98828125,0.125,OnFace
3969,0.34375,0.98828125,0.125,OnFace
4090,0.34375,0.98828125,0.125,OnFace
4208,0.34375,0.98828125,0.125,OnFace
4307,0.341796875,0.98828125,0.125,OnFace
4458,0.341796875,0.98828125,0.125,OnFace
4565,0.341796875,0.98828125,0.125,OnFace
4691,0.341796875,0.98828125,0.125,OnFace
4787,0.341796875,0.986328125,0.123046875,OnFace
4904,0.341796875,0.98828125,0.125,OnFace
5078,0.341796875,0.98828125,0.125,OnFace
5348,0.341796875,0.986328125,0.125,OnFace
5501,0.71875,1.078125,0.34375,Picked Up
5599,0.71875,1.078125,0.34375,Picked Up
5736,-0.171875,1.462890625,-0.26171875,Picked Up
5834,-0.384765625,-0.517578125,-0.13671875,Picked Up
6137,0.126953125,-0.310546875,0.982421875,Picked Up
6295,0.326171875,-0.60546875,0.419921875,Rolling
6390,0.36328125,-0.357421875,0.51953125,Rolling
6489,0.36328125,-0.357421875,0.51953125,Rolling
6588,0.01953125,-0.494140625,0.134765625,Rolling
6684,0.01953125,-0.494140625,0.134765625,Rolling
6882,0.345703125,0.890625,0.15625,Rolling
6996,0.34375,0.98828125,0.130859375,Rolling
7091,0.34375,0.986328125,0.12890625,OnFace
7221,0.34375,0.986328125,0.12890625,OnFace
7322,0.34375,0.986328125,0.126953125,OnFace
7417,0.34375,0.986328125,0.126953125,OnFace
7536,0.34375,0.986328125,0.126953125,OnFace
7634,0.34375,0.986328125,0.12890625,OnFace
7729,0.34375,0.986328125,0.12890625,OnFace
7871,0.34375,0.98828125,0.12890625,OnFace
7970,0.5390625,0.953125,0.201171875,OnFace
8078,0.197265625,1.19140625,0.314453125,OnFace
8325,0.150390625,0.3203125,0.994140625,Picked Up
8781,0.021484375,-0.044921875,0.7578125,Picked Up
9707,1.021484375,0.0859375,-0.01953125,Rolling
10210,1.013671875,0.03125,-0.05078125,OnFace
10757,1.013671875,0.029296875,-0.05078125,OnFace
11000,1.013671875,0.03125,-0.05078125,OnFace
11096,0.9921875,0.19921875,-0.41796875,OnFace
11202,0.9921875,0.19921875,-0.41796875,Picked Up
11300,1.05859375,0.373046875,-0.125,Picked Up
11397,1.05859375,0.373046875,-0.125,Picked Up
11497,1.6796875,-0.0234375,0.34765625,Picked Up
11867,-1.01171875,-0.876953125,-0.525390625,Picked Up
12017,0.09765625,-0.451171875,0.365234375,Rolling
12112,0.83984375,-0.650390625,0.90625,Rolling
12217,0.5703125,-0.521484375,0.599609375,Rolling
12403,-0.146484375,-0.1796875,0.490234375,Rolling
12614,0.283203125,0.376953125,0.251953125,Rolling
12739,0.46484375,-0.4609375,0.849609375,Rolling
12837,0.41796875,-0.54296875,0.75390625,OnFace
12931,0.41796875,-0.54296875,0.75390625,OnFace
13028,0.421875,-0.5390625,0.75390625,OnFace
13126,0.421875,-0.5390625,0.75390625,OnFace
13237,0.421875,-0.5390625,0.75390625,OnFace
13489,0.421875,-0.541015625,0.751953125,OnFace
13637,0.421875,-0.5390625,0.75390625,OnFace
13731,0.421875,-0.5390625,0.75390625,OnFace
13828,0.32421875,-0.59765625,0.86328125,OnFace
13953,0.32421875,-0.59765625,0.86328125,Picked Up
14047,0.3671875,-0.91015625,0.82421875,Picked Up
14266,0.205078125,0.296875,-0.333984375,Picked Up
14438,1.3359375,0.083984375,-0.619140625,Picked Up
14777,0.3203125,-0.52734375,0.11328125,Rolling
14945,-0.505859375,-0.505859375,0.853515625,Rolling
15042,0.189453125,0.220703125,0.115234375,Rolling
15252,-0.556640625,0.2578125,0.283203125,Rolling
15484,0.12890625,-0.1640625,-0.208984375,Rolling
15638,-0.0859375,-0.296875,-0.390625,Rolling
