millis,x,y,z,state
0,0.39453125,-0.9140625,0.150390625,Unknown
100,0.396484375,-0.916015625,0.15234375,Unknown
203,0.396484375,-0.916015625,0.15234375,Unknown
304,0.396484375,-0.916015625,0.15234375,Unknown
491,0.396484375,-0.916015625,0.15234375,Unknown
649,0.396484375,-0.916015625,0.15234375,Unknown
859,0.396484375,-0.9140625,0.15234375,Unknown
979,0.396484375,-0.916015625,0.154296875,Unknown
1164,0.396484375,-0.916015625,0.15234375,Unknown
1302,0.396484375,-0.916015625,0.15234375,Unknown
1549,0.396484375,-0.916015625,0.15234375,Unknown
1686,0.396484375,-0.916015625,0.154296875,Unknown
1794,0.396484375,-0.916015625,0.154296875,Unknown
1928,0.396484375,-0.916015625,0.15234375,Unknown
2104,0.396484375,-0.916015625,0.15234375,Unknown
2384,0.396484375,-0.916015625,0.154296875,Unknown
2531,0.396484375,-0.916015625,0.154296875,Unknown
2644,0.396484375,-0.916015625,0.15234375,Unknown
2742,0.396484375,-0.9140625,0.15234375,Unknown
2917,0.396484375,-0.9140625,0.15234375,Unknown
3056,0.51953125,-1.279296875,0.23046875,Handling
3217,0.51953125,-1.279296875,0.23046875,Handling
3363,0.333984375,-0.447265625,0.203125,Handling
3462,0.080078125,0.1953125,1.181640625,Handling
3609,0.32421875,0.802734375,0.708984375,Handling
3704,0.216796875,0.244140625,0.548828125,Handling
3813,0.216796875,0.244140625,0.548828125,Handling
3913,0.986328125,-1.19921875,1.22265625,Rolling
4010,0.986328125,-1.19921875,1.22265625,Rolling
4109,-0.0234375,-0.44921875,0.359375,Rolling
4241,0.412109375,0.490234375,-0.076171875,Rolling
4452,0.326171875,1.01953125,0.150390625,Rolling
4576,0.35546875,0.982421875,0.125,OnFace
4676,0.35546875,0.982421875,0.125,OnFace
4778,0.35546875,0.982421875,0.125,OnFace
4875,0.35546875,0.982421875,0.123046875,OnFace
4976,0.35546875,0.982421875,0.123046875,OnFace
5077,0.35546875,0.982421875,0.125,OnFace
5316,0.35546875,0.982421875,0.123046875,OnFace
5473,0.35546875,0.982421875,0.123046875,OnFace
5573,0.35546875,0.982421875,0.125,OnFace
5670,0.35546875,0.982421875,0.125,OnFace
5813,0.35546875,0.982421875,0.123046875,OnFace
5911,0.35546875,0.982421875,0.123046875,OnFace
6012,0.35546875,0.982421875,0.125,OnFace
6109,0.35546875,0.982421875,0.123046875,OnFace
6207,0.35546875,0.982421875,0.123046875,OnFace
6307,0.35546875,0.982421875,0.123046875,OnFace
6405,0.61328125,1.21875,0.1015625,Handling
6504,0.61328125,1.21875,0.1015625,Handling
6604,0.720703125,1.08984375,0.08203125,Handling
6822,-0.134765625,-0.052734375,0.076171875,Handling
6949,-0.30078125,0.134765625,-1.5078125,Handling
7054,-0.16796875,0.048828125,0.18359375,Handling
7237,0.85546875,0.501953125,0.88671875,Handling
7482,0.9140625,0.34375,-0.173828125,Rolling
7619,1.02734375,0.01171875,-0.046875,Rolling
7715,1.02734375,0.01171875,-0.046875,OnFace
7835,1.013671875,0.009765625,-0.05078125,OnFace
7936,1.013671875,0.009765625,-0.05078125,OnFace
8080,1.013671875,0.01171875,-0.05078125,OnFace
8225,1.013671875,0.009765625,-0.05078125,OnFace
8345,1.013671875,0.009765625,-0.052734375,OnFace
8466,1.013671875,0.009765625,-0.05078125,OnFace
8561,1.013671875,0.009765625,-0.05078125,OnFace
8674,1.013671875,0.009765625,-0.05078125,OnFace
8859,1.013671875,0.009765625,-0.05078125,OnFace
9006,1.013671875,0.009765625,-0.05078125,OnFace
9109,1.015625,0.009765625,-0.05078125,OnFace
9208,1.013671875,0.009765625,-0.05078125,OnFace
9308,1.013671875,0.009765625,-0.05078125,OnFace
9414,1.013671875,0.009765625,-0.052734375,OnFace
9535,1.013671875,0.009765625,-0.052734375,OnFace
9633,1.01171875,0.009765625,-0.052734375,OnFace
9733,1.125,-0.029296875,-0.04296875,OnFace
9833,1.125,-0.029296875,-0.04296875,Handling
9964,1.32421875,-0.03515625,-0.455078125,Handling
10092,0.013671875,-0.30078125,0.662109375,Handling
10703,0.857421875,-0.470703125,-0.28125,Shaking
10991,-0.5390625,-0.638671875,-0.494140625,Shaking
11169,0.0625,0.015625,-0.552734375,Shaking
11296,-0.37890625,-0.322265625,0.18359375,Shaking
11467,0.353515625,0.0078125,-0.1015625,Rolling
11649,0.6015625,-0.46875,0.201171875,Rolling
11861,0.982421875,0.150390625,-0.083984375,Rolling
11991,1.01171875,0,-0.04296875,OnFace
12093,1.013671875,0.0234375,-0.064453125,OnFace
12195,1.013671875,0.0234375,-0.064453125,OnFace
12295,1.013671875,0.0234375,-0.064453125,OnFace
12392,1.013671875,0.0234375,-0.06640625,OnFace
12493,1.013671875,0.0234375,-0.06640625,OnFace
12602,1.013671875,0.0234375,-0.06640625,OnFace
12727,1.013671875,0.0234375,-0.064453125,OnFace
12822,1.013671875,0.0234375,-0.064453125,OnFace
12922,1.013671875,0.0234375,-0.064453125,OnFace
13021,1.013671875,0.0234375,-0.064453125,OnFace
13116,1.013671875,0.0234375,-0.064453125,OnFace
13266,1.013671875,0.0234375,-0.064453125,OnFace
13385,1.013671875,0.0234375,-0.064453125,OnFace
13505,1.013671875,0.0234375,-0.064453125,OnFace
13603,1.013671875,0.0234375,-0.06640625,OnFace
13701,1.013671875,0.0234375,-0.06640625,OnFace
13798,1.01171875,0.0234375,-0.064453125,OnFace
13901,1.01171875,0.0234375,-0.064453125,OnFace
14008,1.01171875,0.02734375,-0.064453125,OnFace
14144,1.51953125,0.11328125,-0.078125,OnFace
14273,0.8515625,0.162109375,-0.09765625,Handling
14374,0.8515625,0.162109375,-0.09765625,Handling
14472,-0.244140625,-0.48046875,-0.640625,Handling
14616,-0.697265625,0.48828125,-0.568359375,Shaking
14956,0.271484375,-0.0546875,1.177734375,Shaking
15139,1.162109375,-0.796875,1.220703125,Shaking
15241,0.8984375,-1.30859375,2.9375,Rolling
15462,0.40625,-0.9140625,0.16015625,Rolling
15589,0.40625,-0.9140625,0.16015625,Rolling
15684,0.390625,-0.91796875,0.14453125,OnFace
15785,0.390625,-0.91796875,0.14453125,OnFace
15884,0.390625,-0.91796875,0.14453125,OnFace
15979,0.390625,-0.91796875,0.14453125,OnFace
16119,0.390625,-0.91796875,0.14453125,OnFace
16232,0.390625,-0.91796875,0.146484375,OnFace
16423,0.390625,-0.91796875,0.146484375,OnFace
16546,0.390625,-0.91796875,0.14453125,OnFace
16684,0.390625,-0.91796875,0.14453125,OnFace
16875,0.390625,-0.91796875,0.14453125,OnFace
17013,0.390625,-0.91796875,0.14453125,OnFace
17111,0.390625,-0.916015625,0.146484375,OnFace
17228,0.3984375,-0.921875,0.140625,OnFace
17344,0.3984375,-0.921875,0.140625,OnFace
17500,0.638671875,-1.404296875,-0.16796875,Handling
17860,0.171875,-0.705078125,-0.001953125,Shaking
18351,0.1640625,1.00390625,0.55078125,Shaking
18593,0.3671875,0.697265625,-0.46484375,Shaking
18690,-0.14453125,0.828125,-0.220703125,Shaking
18788,-0.06640625,0.376953125,0.53515625,Shaking
19096,-0.50390625,-0.2890625,0.248046875,Rolling
19245,-0.798828125,0.47265625,0.291015625,Rolling
19343,-0.72265625,0.6015625,0.39453125,Rolling
19438,-0.72265625,0.6015625,0.39453125,OnFace
19536,-0.72265625,0.6015625,0.392578125,OnFace
19635,-0.72265625,0.6015625,0.392578125,OnFace
19732,-0.72265625,0.6015625,0.39453125,OnFace
19864,-0.72265625,0.6015625,0.392578125,OnFace
19966,-0.74609375,0.5859375,0.3671875,OnFace
20064,-0.76171875,0.5859375,0.3359375,OnFace
20166,-0.76171875,0.5859375,0.3359375,Shifting
20444,-0.66015625,0.6328125,0.45703125,Shifting
20593,-0.736328125,0.564453125,0.421875,Shifting
20691,-0.736328125,0.564453125,0.421875,Shifting
20824,-0.732421875,0.591796875,0.392578125,Shifting
20951,-0.712890625,0.611328125,0.3984375,Shifting
21096,-0.72265625,0.6015625,0.396484375,Shifting
21333,-0.72265625,0.599609375,0.39453125,OnFace
21486,-0.72265625,0.599609375,0.39453125,OnFace
21604,-0.72265625,0.599609375,0.39453125,OnFace
21756,-0.72265625,0.599609375,0.39453125,OnFace
21939,-0.72265625,0.599609375,0.39453125,OnFace
22055,-0.72265625,0.599609375,0.396484375,OnFace
22155,-0.751953125,0.53515625,0.439453125,OnFace
22254,-0.751953125,0.53515625,0.439453125,OnFace
22513,-0.8671875,1.482421875,0.720703125,Handling
22686,1.05078125,0.5859375,-0.271484375,Shaking
22842,0.9296875,0.025390625,0.19140625,Shaking
22951,-0.185546875,0.734375,-0.162109375,Shaking
23174,0.2265625,0.892578125,0.1953125,Shaking
23307,0.453125,-0.3828125,0.865234375,Rolling
23401,0.73046875,-0.4921875,0.9375,Rolling
23499,0.73046875,-0.4921875,0.9375,Rolling
23744,0.392578125,-0.927734375,0.125,Rolling
23892,0.384765625,-0.91796875,0.150390625,Rolling
23986,0.384765625,-0.91796875,0.150390625,OnFace
24156,0.38671875,-0.91796875,0.15234375,OnFace
24273,0.388671875,-0.91796875,0.15234375,OnFace
24462,0.38671875,-0.91796875,0.15234375,OnFace
24700,0.38671875,-0.91796875,0.15234375,OnFace
24994,0.38671875,-0.91796875,0.15234375,OnFace
25144,0.38671875,-0.916015625,0.15234375,OnFace
25243,0.38671875,-0.916015625,0.15234375,OnFace
25384,0.388671875,-0.916015625,0.15234375,OnFace
25535,0.388671875,-0.916015625,0.15234375,OnFace
25686,0.38671875,-0.916015625,0.15234375,OnFace
25805,0.38671875,-0.916015625,0.15234375,OnFace
25903,0.38671875,-0.916015625,0.15234375,OnFace
26002,0.38671875,-0.916015625,0.15234375,OnFace
26104,0.38671875,-0.91796875,0.150390625,OnFace
26199,0.388671875,-0.916015625,0.15234375,OnFace
26339,0.388671875,-0.916015625,0.15234375,OnFace
26466,0.38671875,-0.916015625,0.15234375,OnFace
26564,0.38671875,-0.916015625,0.15234375,OnFace
26672,0.38671875,-0.91796875,0.15234375,OnFace
26794,0.546875,-1.26171875,0,OnFace
26892,0.546875,-1.26171875,0,OnFace
26987,0.75,-1.10546875,-0.1796875,Handling
27252,0.107421875,0.18359375,0.025390625,Handling
27401,0.41015625,1.416015625,0.146484375,Handling
27522,0.107421875,-0.23828125,0.640625,Handling
27621,0.365234375,-0.40234375,1.333984375,Handling
27721,0.365234375,-0.40234375,1.333984375,Rolling
27816,0.365234375,-0.40234375,1.333984375,Rolling
27938,0.126953125,0.392578125,0.669921875,Rolling
28055,-0.37109375,0.95703125,-0.1015625,Rolling
28153,-0.37109375,0.95703125,-0.1015625,Rolling
28253,-0.369140625,0.95703125,-0.1015625,OnFace
28354,-0.369140625,0.95703125,-0.1015625,OnFace
28455,-0.369140625,0.958984375,-0.1015625,OnFace
28596,-0.3671875,0.95703125,-0.1015625,OnFace
28698,-0.3671875,0.95703125,-0.1015625,OnFace
28798,-0.3671875,0.95703125,-0.1015625,OnFace
28894,-0.3671875,0.95703125,-0.103515625,OnFace
28993,-0.3671875,0.95703125,-0.103515625,OnFace
29094,-0.369140625,0.95703125,-0.103515625,OnFace
29192,-0.369140625,0.95703125,-0.103515625,OnFace
29318,-0.369140625,0.95703125,-0.103515625,OnFace
29416,-0.3671875,0.95703125,-0.103515625,OnFace
29512,-0.369140625,0.95703125,-0.103515625,OnFace
29638,-0.369140625,0.95703125,-0.103515625,OnFace
29737,-0.369140625,0.95703125,-0.103515625,OnFace
29833,-0.369140625,0.95703125,-0.103515625,OnFace
29975,-0.517578125,1.224609375,-0.21875,OnFace
30160,-0.646484375,1.2578125,0.216796875,Handling
30272,-0.646484375,1.2578125,0.216796875,Handling
30370,0.55859375,-0.37890625,0.181640625,Handling
30734,0.869140625,0.3515625,0.470703125,Handling
30884,0.6640625,-0.169921875,0.810546875,Rolling
31092,0.11328125,0.216796875,-0.404296875,Rolling
31228,-0.41015625,0.560546875,-0.751953125,OnFace
